"plec","waga","wiek","wojewodztwo","podregion66","godzin_internetu","rok"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","BIALSKI",5,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","BIALSKI",4,"2003"
"kobieta",1.240203744,"25-34 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",0,"2003"
"kobieta",0.99575424,"35-44 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",0,"2003"
"kobieta",0.99575424,"35-44 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",0,"2003"
"kobieta",0.927881248,"do 24 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",1,"2003"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",0,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",3,"2003"
"mężczyzna",0.94359203712,"35-44 lata","Lubelskie","PUŁAWSKI",4,"2003"
"kobieta",0.99575424,"35-44 lata","Lubelskie","PUŁAWSKI",3,"2003"
"mężczyzna",1.04442998632,"25-34 lata","Lubelskie","LUBELSKI",5,"2003"
"mężczyzna",1.09042529184,"35-44 lata","Lubelskie","LUBELSKI",6,"2003"
"kobieta",1.03350312,"35-44 lata","Lubelskie","LUBELSKI",6,"2003"
"mężczyzna",1.09042529184,"35-44 lata","Lubelskie","LUBELSKI",10,"2003"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","LUBELSKI",3,"2003"
"kobieta",1.062137856,"45-59 lat","Lubelskie","LUBELSKI",1,"2003"
"kobieta",0.927881248,"do 24 lat","Lubelskie","LUBELSKI",15,"2003"
"mężczyzna",1.090373020672,"45-59 lat","Lubelskie","LUBELSKI",0,"2003"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","LUBELSKI",10,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",0,"2003"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","LUBELSKI",5,"2003"
"kobieta",1.102403328,"45-59 lat","Lubelskie","PUŁAWSKI",3,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","PUŁAWSKI",2,"2003"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","PUŁAWSKI",5,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","BIALSKI",3,"2003"
"mężczyzna",1.09042529184,"35-44 lata","Lubelskie","PUŁAWSKI",0,"2003"
"mężczyzna",0.959843497632,"60-64 lata","Lubelskie","LUBELSKI",0,"2003"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",1,"2003"
"mężczyzna",0.97936345656,"35-44 lata","Lubelskie","BIALSKI",2,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","BIALSKI",4,"2003"
"mężczyzna",0.97936345656,"45-59 lat","Lubelskie","LUBELSKI",10,"2003"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",40,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",50,"2003"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",10,"2003"
"mężczyzna",0.97936345656,"35-44 lata","Lubelskie","LUBELSKI",3,"2003"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",0,"2003"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",1,"2003"
"kobieta",1.102403328,"45-59 lat","Lubelskie","LUBELSKI",15,"2003"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",3,"2003"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",0,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",5,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",3,"2003"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",1,"2003"
"kobieta",1.102403328,"45-59 lat","Lubelskie","LUBELSKI",20,"2003"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",25,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",3,"2003"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",70,"2003"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",7,"2003"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",2,"2003"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",3,"2003"
"kobieta",0.95400288,"45-59 lat","Lubelskie","LUBELSKI",1,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",1,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",2,"2003"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",5,"2003"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",1,"2003"
"mężczyzna",1.09042529184,"35-44 lata","Lubelskie","LUBELSKI",5,"2003"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",5,"2003"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",5,"2003"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",50,"2003"
"kobieta",1.102403328,"45-59 lat","Lubelskie","LUBELSKI",2,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",5,"2003"
"kobieta",0.963057074,"25-34 lata","Lubelskie","LUBELSKI",1,"2003"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",1,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",4,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",2,"2003"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",3,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",30,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",8,"2003"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",1,"2003"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",1,"2003"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",2,"2003"
"kobieta",1.102403328,"45-59 lat","Lubelskie","LUBELSKI",0,"2003"
"mężczyzna",0.55018822144,"45-59 lat","Lubuskie","GORZOWSKI",8,"2003"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","GORZOWSKI",1,"2003"
"kobieta",0.53594112,"45-59 lat","Lubuskie","GORZOWSKI",10,"2003"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",2,"2003"
"kobieta",0.48594623,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",3,"2003"
"mężczyzna",0.4941742212,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",0,"2003"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","GORZOWSKI",16,"2003"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","GORZOWSKI",12,"2003"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",2,"2003"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","GORZOWSKI",4,"2003"
"kobieta",0.46819696,"do 24 lat","Lubuskie","GORZOWSKI",1,"2003"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",13,"2003"
"mężczyzna",0.4941742212,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",5,"2003"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",60,"2003"
"kobieta",0.48594623,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",4,"2003"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",8,"2003"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",2,"2003"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",2,"2003"
"mężczyzna",0.63614149632,"25-34 lata","Lubuskie","GORZOWSKI",1,"2003"
"kobieta",0.46819696,"do 24 lat","Lubuskie","GORZOWSKI",20,"2003"
"kobieta",0.62579088,"25-34 lata","Lubuskie","GORZOWSKI",0,"2003"
"mężczyzna",0.66025751616,"25-34 lata","Lubuskie","GORZOWSKI",30,"2003"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",4,"2003"
